i_m_h_street_name,ta_street,result_name
חובבי ציון,חובבי ציון,חובבי ציון
חובות הלבבות,חובות הלבבות,חובות הלבבות
חומה ומגדל,חומה ומגדל,חומה ומגדל
חוף גורדון,ורד,חוף גורדון
חזן יעקב,חזן יעקב,חזן יעקב
חזנוביץ,חזנוביץ,חזנוביץ
חזק,חזק,חזק
חזקיהו המלך,חזקיהו המלך,חזקיהו המלך
"חידושי הרי""ם","חידושי הרי""ם","חידושי הרי""ם"
חיוג יהודה,חיוג יהודה,חיוג יהודה
חיות פרץ,חיות פרץ,חיות פרץ
חיי אדם,חיי אדם,חיי אדם
חייבי משה,חייבי משה,חייבי משה
חיים ואלישע,חיים ואלישע,חיים ואלישע
חיל השריון,חיל השריון,חיל השריון
חיל משמר,חיל המשמר,חיל משמר
חיננית,חיננית,חיננית
חיסין,חיסין,חיסין
חירותנו,חירותנו,חירותנו
חכים אליהו,חכים אליהו,חכים אליהו
חכמי אתונה,חכמי אתונה,חכמי אתונה
חכמי דוד,חכמי דוד,חכמי דוד
חכמי לובלין,חכמי לובלין,חכמי לובלין
חכמי קירואן,חכמי קירואן,חכמי קירואן
חלמית,חלמית,חלמית
חנוך,חנוך,חנוך
חנינא בן דוסא,חנינא בן דוסא,חנינא בן דוסא
חנניה,י',חנניה
חנקין,חנקין,חנקין
חסידי האומות,חסידי האומות,חסידי האומות
חפץ חיים,חפץ חיים,חפץ חיים
חפר,חפר,חפר
חצור,חצור,חצור
חצרים,חצרים,חצרים
חרוץ,חרוץ,חרוץ
חריף אייזיק,חריף אייזיק,חריף אייזיק
חשון,חשון,חשון
"חת""ם סופר","חת""ם סופר","חת""ם סופר"
טאגור רבינדרנארט,טאגור,טאגור רבינדרנארט
טביוב,טביוב,טביוב
טבנקין יצחק,טבנקין יצחק,טבנקין יצחק
טבריה,טבריה,טבריה
טברסקי,טברסקי,טברסקי
טהון יהושע,טהון יהושע,טהון יהושע
טוביה הרופא,טוביה הרופא,טוביה הרופא
טולוז,טולוז,טולוז
טולקובסקי,טולקובסקי,טולקובסקי
טוסקניני,טוסקניני,טוסקניני
טור מלכא,טור מלכא,טור מלכא
טורי זהב,טורי זהב,טורי זהב
טורקוב זיגמונד,טורקוב זיגמונד,טורקוב זיגמונד
טיומקין,טיומקין,טיומקין
טירת צבי,טירת צבי,טירת צבי
טלמון,טלמון,טלמון
טרומפלדור,טרומפלדור,טרומפלדור
טריטש,טריטש,טריטש
טרפון,טרפון,טרפון
טשרנא,טשרנא,טשרנא
טשרניחובסקי,טשרניחובסקי,טשרניחובסקי
יאיר,יאיר,יאיר
יבנה,יבנה,יבנה
יגור,יגור,יגור
יגיע כפיים,יגיע כפיים,יגיע כפיים
יד המעביר,יד המעביר,יד המעביר
יד חרוצים,יד חרוצים,יד חרוצים
ידעיה הפניני,ידעיה הפניני,ידעיה הפניני
יהואש,יהואש,יהואש
יהודה הימית,יהודה הימית,יהודה הימית
יהודה הלוי,יהודה הלוי,יהודה הלוי
יהודה המכבי,יהודה המכבי,יהודה המכבי
יהודה הנשיא,יהודה הנשיא,יהודה הנשיא
יהודה מרגוזה,יהודה מרגוזה,יהודה מרגוזה
יהונתן,יהונתן,יהונתן
יהושע בן נון,יהושע בן נון,יהושע בן נון
יואב,יואב,יואב
יואל הנביא,יואל,יואל הנביא
יודפת,יודפת,יודפת
יוחנן בן זכאי,יוחנן בן זכאי,יוחנן בן זכאי
יוחנן הורקנוס,יוחנן הורקנוס,יוחנן הורקנוס
יוחנן הסנדלר,יוחנן הסנדלר,יוחנן הסנדלר
יום טוב,יום טוב,יום טוב
יון מצולה,יון מצולה,יון מצולה
יונה הנביא,יונה הנביא,יונה הנביא
יוניצ'מן,יוניצ'מן,יוניצ'מן
יונתן הופסי,יונתן הופסי,יונתן הופסי
יוסף אליהו,יוסף אליהו,יוסף אליהו
יוסף הנשיא,יוסף הנשיא,יוסף הנשיא
יועזר איש הבירה,יועזר איש הבירה,יועזר איש הבירה
יורה,יורה,יורה
יורם,יורם,יורם
יזהר,יזהר,יזהר
יחזקאל,יחזקאל,יחזקאל
יחיעם,יחיעם,יחיעם
יטבת,יטבת,יטבת
ילין דוד,ילין דוד,ילין דוד
ילין מור נתן,ילין מור נתן,ילין מור נתן
ילקוט הרועים,ילקוט הרועים,ילקוט הרועים
ים סוף,ים סוף,ים סוף
ימין,ימין,ימין
ינון,ינון,ינון
יסוד המעלה,יסוד המעלה,יסוד המעלה
"יעב""ץ","יעב""ץ","יעב""ץ"
יעל,יעל,יעל
יעקב שבתאי,שבתאי יעקב,יעקב שבתאי
יערי מאיר,יערי מאיר,יערי מאיר
יפה בצלאל,יפה בצלאל,יפה בצלאל
יפה נוף,יפה נוף,יפה נוף
יפו העתיקה,יפו,יפו העתיקה
יפעת,יפעת,יפעת
יפרח,יפרח,יפרח
יפת,יפת,יפת
יפתח,יפתח,יפתח
יצחק שדה,שדה יצחק,יצחק שדה
יציאת אירופה,יציאת אירופה,יציאת אירופה
יקותיאל,יקותיאל,יקותיאל
יקנעם,יקנעם,יקנעם
ירבלום מרק,ירבלום מרק,ירבלום מרק
ירושלמי,ירושלמי,ירושלמי
ירמיהו,ירמיהו הנביא,ירמיהו
ישורון,ישורון,ישורון
ישכון,ישכון,ישכון
ישעיהו,ישעיהו,ישעיהו
ישראל מסלנט,ישראל מסלנט,ישראל מסלנט
ישראליס,ישראליס,ישראליס
"כ""ג יורדי הסירה","כ""ג יורדי הסירה","כ""ג יורדי הסירה"
"כ""ץ יעקב יוסף","כ""ץ יעקב יוסף","כ""ץ יעקב יוסף"
כביר,כביר,כביר
כהן הרמן,כהן הרמן,כהן הרמן
כהנשטם,כהנשטם,כהנשטם
כוכבי יצחק,כוכבי יצחק,כוכבי יצחק
כורזים,כורזים,כורזים
כורש,כורש,כורש
ככר אנה פרנק,"כ""ה",ככר אנה פרנק
ככר דיזנגוף,דיזנגוף,ככר דיזנגוף
ככר הבימה,הבימה,ככר הבימה
ככר היל,היל,ככר היל
ככר המדינה,המדינה,ככר המדינה
ככר המושבות,המושבות,ככר המושבות
ככר הסוכנות,הס,ככר הסוכנות
ככר וולך יונה,וולך יונה,ככר וולך יונה
ככר יצחק רבין,רבין יצחק,ככר יצחק רבין
ככר נמיר,י',ככר נמיר
ככר פלומר,פלומר,ככר פלומר
ככר קדומים,קדומים,ככר קדומים
ככר שטרן מרדכי,שטרן מרדכי,ככר שטרן מרדכי
כל ישראל חברים,כל ישראל חברים,כל ישראל חברים
כנפי נשרים,כנפי נשרים,כנפי נשרים
כסלו,כסלו,כסלו
כפר גלעדי,כפר גלעדי,כפר גלעדי
כפר יונה,כפר יונה,כפר יונה
כפר שלם,כ',כפר שלם
כצנלסון בת שבע,כצנלסון בת-שבע,כצנלסון בת שבע
כרם התימנים,כרם התימנים,כרם התימנים
כרם חמד,כרם חמד,כרם חמד
כרמי,כרמי,כרמי
כרמיה,כרמיה,כרמיה
כרמלית,כרמלית,כרמלית
לאה,לאה גולדברג,לאה
לאן א,לאן א',לאן א
לב אברהם,לב אברהם,לב אברהם
לבון פנחס,לבון פנחס,לבון פנחס
לבונטין,לבונטין,לבונטין
לבלוב,לבלוב,לבלוב
לבנדה,לבנדה,לבנדה
לבנדובסקי,לבנדובסקי אליעזר,לבנדובסקי
לבנון חיים,לבנון חיים,לבנון חיים
לבני איתן,לבני איתן,לבני איתן
לה גארדיה,לה גוארדיה,לה גארדיה
לואי מרשל,מרשל לואי,לואי מרשל
לובטקין צביה,לובטקין צביה,לובטקין צביה
לודויפול,לודויפול,לודויפול
לוחמי גליפולי,לוחמי גליפולי,לוחמי גליפולי
לוי יוסף,ו',לוי יוסף
לוי יצחק,לוי יצחק,לוי יצחק
לויטה,לויטה,לויטה
לויטן יצחק,לויטן יצחק,לויטן יצחק
לוין קיפניס,קיפניס לוין,לוין קיפניס
לוינסקי,לוינסקי,לוינסקי
לונץ,לונץ,לונץ
לוריא,לוריא,לוריא
"לח""י","לח""י","לח""י"
לחובר,לחובר,לחובר
ליב בן שרה,ליב בן שרה,ליב בן שרה
ליבנה אליעזר,ליבנה אליעזר,ליבנה אליעזר
ליברמן,ליברמן,ליברמן
ליוויק,ליוויק,ליוויק
לילינבלום,לילינבלום,לילינבלום
לינקולן,לינקולן,לינקולן
ליסין,ליסין,ליסין
ליפסקי לואי,ליפסקי לואי,ליפסקי לואי
ליש,ליש,ליש
לישנסקי יוסף,לישנסקי יוסף,לישנסקי יוסף
לכיש,לכיש,לכיש
למדן יצחק,למדן יצחק,למדן יצחק
למואל,למואל,למואל
למרטין,למרטין,למרטין
לסל,לסל,לסל
לסקוב חיים,לסקוב חיים,לסקוב חיים
לסקר,לסקר,לסקר
לפידות,לפידות,לפידות
לפין,לפין,לפין
לקרט,לקרט,לקרט
מאור הגולה,מאור הגולה,מאור הגולה
מאור עינים,מאור עינים,מאור עינים
מאייר מרדכי,מאיר מרדכי,מאייר מרדכי
מאנגר איציק,מאנגר איציק,מאנגר איציק
מאנה,מאנה,מאנה
מאפו,מאפו,מאפו
מבוא גילת,גילת,מבוא גילת
מבחר,מבחר,מבחר
מבטחים,מבטחים,מבטחים
מבצע קדש,מבצע קדש,מבצע קדש
מבקיעים,מבקיעים,מבקיעים
מבשר,מבשר,מבשר
מגדל,מגדל,מגדל
מגדל שרשן,מגדל שרשן,מגדל שרשן
מגידו,מגידו,מגידו
מגן אברהם,מגן אברהם,מגן אברהם
מד אנדרומדה,אנדרומדה,מד אנדרומדה
מדמון מנחם,מנחם מדמון,מדמון מנחם
מדרש פנחס,מדרש פנחס,מדרש פנחס
מדרש תנחומא,מדרש תנחומא,מדרש תנחומא
מהלל העדני,מהלל העדני,מהלל העדני
"מהר""ל","מהר""ל","מהר""ל"
"מהרש""א","מהרש""א","מהרש""א"
מודיליאני,מודיליאני,מודיליאני
מודיעין,מודיעין,מודיעין
מוהליבר,מוהליבר,מוהליבר
מוזס יהודה ונח,מוזס יהודה ונח,מוזס יהודה ונח
מויאל אהרון,מויאל אהרון,מויאל אהרון
מולדת,מולדת,מולדת
מונטיפיורי,מונטיפיורי,מונטיפיורי
מוסינזון,ו',מוסינזון
מוצא,מוצא,מוצא
מוצקין,מוצקין,מוצקין
מור,מור,מור
מורד הטיילת,מור,מורד הטיילת
מורדי הגטאות,מורדי הגטאות,מורדי הגטאות
מוריץ דניאל,מוריץ דניאל,מוריץ דניאל
מורשת,מורשת,מורשת
מושיע,מושיע,מושיע
"מזא""ה","מזא""ה","מזא""ה"
מזל דגים,מזל דגים,מזל דגים
מזל דלי,מזל דלי,מזל דלי
מזרחי,מזרחי,מזרחי
"מח""ל","מח""ל","מח""ל"
מחנה יוסף,מחנה יוסף,מחנה יוסף
מחרוזת,מחרוזת,מחרוזת
מטלון,מטלון,מטלון
מיטב,מיטב,מיטב
מייזל זלמן,מייזל זלמן,מייזל זלמן
מיכאל )נאמן(,מיכאל (נאמן),מיכאל )נאמן(
מיכאל אנג'לו,מיכאל אנג'לו,מיכאל אנג'לו
מיכה,מיכה,מיכה
מימון שלמה,מימון שלמה,מימון שלמה
מינץ בנימין,מינץ בנימין,מינץ בנימין
מיצקביץ אדם,מיצקביץ אדם,מיצקביץ אדם
מיקוניס שמואל,מיקוניס שמואל,מיקוניס שמואל
מירון,מירון,מירון
מכלל יופי,מכלל יופי,מכלל יופי
"מל""ן","מל""ן","מל""ן"
מלאכי,מלאכי,מלאכי
מלון מנדרין,,מלון מנדרין
מלכי ישראל,מלכי ישראל,מלכי ישראל
מלצ'ט,מלצ'ט,מלצ'ט
מלקוש,מלקוש,מלקוש
מנדלי מוכר ספרים,מנדלי מוכר ספרים,מנדלי מוכר ספרים
מנדלסון,מנדלסון,מנדלסון
מנדלשטם,מנדלשטם,מנדלשטם
מנוחה,מנוחה,מנוחה
מנורה,מנורה,מנורה
מנורת המאור,מנורת המאור,מנורת המאור
מניה וישראל,מניה וישראל,מניה וישראל
מנשה בן ישראל,מנשה בן ישראל,מנשה בן ישראל
מסוף ארלוזורוב,ארלוזורוב,מסוף ארלוזורוב
מסוף רדינג,רדינג,מסוף רדינג
מסילת העולים,מסילת העולים,מסילת העולים
מסילת וולפסון,מסילת וולפסון,מסילת וולפסון
מסילת ישרים,מסילת ישרים,מסילת ישרים
מעבר יבוק,,מעבר יבוק
מעון,מעון,מעון
מענית,מענית,מענית
מעפילי אגוז,מעפילי אגוז,מעפילי אגוז
מעפילי סלואדור,מעפילי סלואדור,מעפילי סלואדור
מפרץ שלמה,מפרץ שלמה,מפרץ שלמה
מצדה,מצדה,מצדה
מצובה,מצובה,מצובה
"מצודת בית""ר","מצודת בית""ר","מצודת בית""ר"
מצפה,מצפה,מצפה
מקוה ישראל,מקוה ישראל,מקוה ישראל
מקור חיים,מקור חיים,מקור חיים
מקלף מרדכי,מקלף מרדכי,מקלף מרדכי
מקס ברוד,ברוד מקס,מקס ברוד
מרגולין,מרגולין,מרגולין
מרגנית,מרגנית,מרגנית
מרדור מוניה,מרדור מוניה,מרדור מוניה
מרדכי )מוטה( גור,גור (מוטה) מרדכי,מרדכי )מוטה( גור
מרזוק ועזר,מרזוק ועזר,מרזוק ועזר
מרחביה,מרחביה,מרחביה
מרידור יעקב,מרידור יעקב,מרידור יעקב
מרים החשמונאית,מרים החשמונאית,מרים החשמונאית
מרכוס דוד,מרכוס דוד,מרכוס דוד
מרכז בעלי מלאכה,מרכז בעלי מלאכה,מרכז בעלי מלאכה
מרכז הירידים,מרכז הירידים,מרכז הירידים
מרכז רפואי סוראסק,,מרכז רפואי סוראסק
מרכלת,מרכלת,מרכלת
מרמורק,מרמורק,מרמורק
מרסל ינקו,מרסל ינקו,מרסל ינקו
משגב עם,משגב עם,משגב עם
משה בריל בר-כוכבא,בר-כוכבא משה (בריל),משה בריל בר-כוכבא
משמר הגבול,משמר הגבול,משמר הגבול
משמר הירדן,משמר הירדן,משמר הירדן
משעול יעקב,יעקב,משעול יעקב
"מתחם שטח נמל ת""א",מסילה א',"מתחם שטח נמל ת""א"
מתתיהו כהן גדול,מתתיהו כהן גדול,מתתיהו כהן גדול
נבטים,נבטים,נבטים
נג'ארה ישראל,נג'ארה ישראל,נג'ארה ישראל
נגבה,נגבה,נגבה
נדב,נדב,נדב
נהלל,נהלל,נהלל
נהרדעא,נהרדעא,נהרדעא
נוה צדק,נוה צדק,נוה צדק
נוה שאנן,נוה שאנן,נוה שאנן
נוה שלום,נוה שלום,נוה שלום
נווה צדק,נוה צדק,נווה צדק
נועם,נועם,נועם
נוריאל,נוריאל,נוריאל
נח,מנחם מדמון,נח
נחום,רבי תנחום,נחום
נחל איילון,נחל איילון,נחל איילון
נחל הבשור,נחל הבשור,נחל הבשור
נחל עוז,נחל עוז,נחל עוז
נחל שורק,נחל שורק,נחל שורק
נחלאות,נחלאות,נחלאות
נחליאל,נחליאל,נחליאל
נחלת בנימין,נחלת בנימין,נחלת בנימין
נחלת יצחק,נחלת יצחק,נחלת יצחק
נחמה,נחמה,נחמה
נחמיה,נחמיה,נחמיה
נחמן מברסלב,נחמן מברסלב,נחמן מברסלב
נחמני,נחמני,נחמני
נחשון,נחשון,נחשון
נטעים,נטעים,נטעים
נטר קרל,נטר קרל,נטר קרל
ניסנבוים,ניסנבוים,ניסנבוים
ניצנה,ניצנה,ניצנה
נירים,נירים,נירים
נמירובר,נמירובר,נמירובר
נמל יפו,נמל יפו,נמל יפו
נמל תל אביב,נמל תל אביב,נמל תל אביב
נס הרים,נס הרים,נס הרים
נס לגויים,נס לגויים,נס לגויים
נס ציונה,נס ציונה,נס ציונה
נצח ישראל,נצח ישראל,נצח ישראל
נקר מאיר,נקר מאיר,נקר מאיר
נרדור,נרדור,נרדור
נשרי צבי,נשרי צבי,נשרי צבי
נתיב המזלות,נתיב המזלות,נתיב המזלות
נתיבות,נתיבות,נתיבות
נתן,נתן,נתן
נתן החכם,נתן החכם,נתן החכם
סאמט שמעון,סאמט שמעון,סאמט שמעון
סביון,סביון,סביון
סג'רה,סג'רה,סג'רה
סהרון,סהרון,סהרון
סוטין,סוטין,סוטין
סולד הנרייטה,סולד הנרייטה,סולד הנרייטה
סומקן,סומקן,סומקן
סוסקין אברהם,סוסקין אברהם,סוסקין אברהם
סוקולוב,סוקולוב,סוקולוב
סוקרטס,סוקרטס,סוקרטס
סטימצקי,י',סטימצקי
סיוון,סיוון,סיוון
סיטי מנשיה,"ס""ה",סיטי מנשיה
סירני חיים,סירני חיים,סירני חיים
סירקין,סירקין,סירקין
סלואדור,סלואדור,סלואדור
סלומון,סלומון,סלומון
סלונימסקי,סלונימסקי,סלונימסקי
סלסלה,סלסלה,סלסלה
סלע יעקב,סלע יעקב,סלע יעקב
סלע עמנואל,סלע עמנואל,סלע עמנואל
סמ איתן,איתן,סמ איתן
סמ אסירי ציון,אסירי ציון,סמ אסירי ציון
סמ באר שבע,באר שבע,סמ באר שבע
סמ בארי,בארי,סמ בארי
סמ גולי קניה,גולי קניה,סמ גולי קניה
סמ גור אריה,גור אריה,סמ גור אריה
סמ גן מאיר,גן מאיר,סמ גן מאיר
סמ הכרמל,הכרמל,סמ הכרמל
סמ הר ציון,הר ציון,סמ הר ציון
סמ התבור,התבור,סמ התבור
סמ חכמי ישראל,חכמי ישראל,סמ חכמי ישראל
סמ כביר,כביר,סמ כביר
סמ מנדלשטם,מנדלשטם,סמ מנדלשטם
סמ מסילה א,מסילה א',סמ מסילה א
סמ משמר הירדן,משמר הירדן,סמ משמר הירדן
סמ נורדאו,נורדאו,סמ נורדאו
סמ עובד,ד',סמ עובד
סמ ענתבי,ענתבי,סמ ענתבי
"סמ ראב""ד",אב,"סמ ראב""ד"
סמ ראשית חכמה,ראשית חכמה,סמ ראשית חכמה
סמ שבזי,שבזי,סמ שבזי
סמ שלוש,שלוש,סמ שלוש
"סמ שפ""ר","יוגב כרמי ד""ר","סמ שפ""ר"
סמ שרירא,שרירא,סמ שרירא
סמבורסקי דניאל,סמבורסקי דניאל,סמבורסקי דניאל
סמדר,סמדר,סמדר
סמולנסקין,סמולנסקין,סמולנסקין
סמטה אלמונית,אלמונית,סמטה אלמונית
סמטה פלונית,פלונית,סמטה פלונית
סמילנסקי,סמילנסקי,סמילנסקי
סנה משה,סנה משה,סנה משה
סנהדרין,סנהדרין,סנהדרין
סנפיר,סנפיר,סנפיר
סנש חנה,סנש חנה,סנש חנה
סעדיה גאון,סעדיה גאון,סעדיה גאון
ספיר אליהו,ספיר אליהו,ספיר אליהו
ספיר ברוך,ספיר ברוך,ספיר ברוך
ספיר פנחס,ספיר פנחס,ספיר פנחס
סרלין יוסף,סרלין יוסף,סרלין יוסף
סשא ארגוב,ארגוב אלכסנדר (סשא),סשא ארגוב
עבאס אברהם,אב,עבאס אברהם
עבד אל-גני,עבד אל-גני,עבד אל-גני
עבודת ישראל,עבודת ישראל,עבודת ישראל
עברי,עברי,עברי
"עגנון ש""י","עגנון ש""י","עגנון ש""י"
עדולם,עדולם,עדולם
עובדיה מברטנורה,עובדיה מברטנורה,עובדיה מברטנורה
עודד,עודד,עודד
עוזר,עוזר,עוזר
עולי הגרדום,עולי הגרדום,עולי הגרדום
עולי ציון,עולי ציון,עולי ציון
עזאי,עזאי,עזאי
עזה,עזה,עזה
עזרא הסופר,עזרא הסופר,עזרא הסופר
עזריה,עזריהו שרה,עזריה
עיינות,עיינות,עיינות
עין גנים,עין גנים,עין גנים
עין דור,עין דור,עין דור
עין הקורא,עין הקורא,עין הקורא
עין ורד,עין ורד,עין ורד
עין זיתים,עין זיתים,עין זיתים
עין חרוד,עין חרוד,עין חרוד
עין יעקב,עין יעקב,עין יעקב
עיר שמש,עיר שמש,עיר שמש
עירית,עירית,עירית
על פרשת דרכים,על פרשת דרכים,על פרשת דרכים
עלומים,עלומים,עלומים
עלית הנוער,עלית הנוער,עלית הנוער
עמוס,עמוס,עמוס
עמינדב,עמינדב,עמינדב
עמיעד,עמיעד,עמיעד
עמיקם,עמיקם,עמיקם
עמישב,עמישב,עמישב
עמנואל הרומי,עמנואל הרומי,עמנואל הרומי
עמק איילון,עמק איילון,עמק איילון
עמק ברכה,עמק ברכה,עמק ברכה
עמרי,עמרי,עמרי
עמרם גאון,עמרם גאון,עמרם גאון
ענתבי,ענתבי,ענתבי
ענתות,ענתות,ענתות
עציון גבר,עציון גבר,עציון גבר
עצמון,עצמון,עצמון
עקיבא אריה,עקיבא אריה,עקיבא אריה
ערבי נחל,ערבי נחל,ערבי נחל
עשהאל,עשהאל,עשהאל
פאגלין עמיחי,פאגלין עמיחי,פאגלין עמיחי
פארק צ'ארלס קלור,צ'לנוב,פארק צ'ארלס קלור
פאת השולחן,פאת השולחן,פאת השולחן
פוזננסקי שמואל,פוזננסקי שמואל,פוזננסקי שמואל
פולד ברכה,פולד ברכה,פולד ברכה
פומבדיתא,פומבדיתא,פומבדיתא
פומרוק יוסף,פומרוק יוסף,פומרוק יוסף
פועה,פועה,פועה
פוריה,פוריה,פוריה
פושקין,פושקין,פושקין
פחד יצחק,פחד יצחק,פחד יצחק
פטרסון,פטרסון,פטרסון
פיארברג,פיארברג,פיארברג
פייבל,פייבל,פייבל
פיינשטיין,פיינשטיין מאיר,פיינשטיין
פייר מנדס פרנס,מנדס פרנס,פייר מנדס פרנס
פיכמן,פיכמן,פיכמן
פילדלפיה,פילדלפיה,פילדלפיה
פילון,פילון,פילון
פיליכובסקי,פיליכובסקי,פיליכובסקי
פין,צריפין,פין
פינלס,פינלס,פינלס
פינס,פינס,פינס
פינסקר,פינסקר,פינסקר
פיקוס,פיקוס,פיקוס
פישמן מימון,פישמן מימון,פישמן מימון
פלוגות,פלוגות,פלוגות
פלורנטין,פלורנטין,פלורנטין
פלטיאל,פלטיאל,פלטיאל
פליטי הספר,פליטי הספר,פליטי הספר
פן אלכסנדר,פן אלכסנדר,פן אלכסנדר
פנואל,פנואל,פנואל
פנחס בן יאיר,בן יאיר פנחס,פנחס בן יאיר
פנץ נתן,פנץ נתן,פנץ נתן
פנקס,פנקס דוד צבי,פנקס
פסטלוצי,פסטלוצי,פסטלוצי
פסטר,פסטר,פסטר
פסטרנק אריה,פסטרנק אריה,פסטרנק אריה
פעמוני יוסף,פעמוני יוסף,פעמוני יוסף
פעמונית,פעמונית,פעמונית
פקיעין,פקיעין,פקיעין
פראג,פראג,פראג
פראנצויז,פראנצויז,פראנצויז
פרוג,פרוג,פרוג
פרופס אהרון צבי,פרופס,פרופס אהרון צבי
פרוץ לאו,פרוץ לאו,פרוץ לאו
פרחי אביב,פרחי אביב,פרחי אביב
פרי אליעזר,פרי אליעזר,פרי אליעזר
פרי מגדים,פרי מגדים,פרי מגדים
פרי עץ חיים,פרי עץ חיים,פרי עץ חיים
פרידלנד צבי,פרידלנד צבי,פרידלנד צבי
פריש דניאל,פריש דניאל,פריש דניאל
פרישמן,פרישמן,פרישמן
פרלשטיין יצחק,פרלשטיין יצחק אדר,פרלשטיין יצחק
פרנקפורט,פרנקפורט,פרנקפורט
פרסיץ שושנה,פרסיץ שושנה,פרסיץ שושנה
פרץ י ל,פרץ י ל,פרץ י ל
פתחיה מרגנשבורג,פתחיה מרגנשבורג,פתחיה מרגנשבורג
צ'לנוב,צ'לנוב,צ'לנוב
צדוק הכהן,צדוק הכהן,צדוק הכהן
"צה""ל","צה""ל","צה""ל"
צהלון הרופא,צהלון הרופא,צהלון הרופא
צוויג סטפן,צוויג סטפן,צוויג סטפן
צונזר,צונזר,צונזר
צונץ,צונץ,צונץ
צוקרמן יצחק,צוקרמן אנטק יצחק,צוקרמן יצחק
צידון,צידון,צידון
"ציהתל""י","ציהתל""י","ציהתל""י"
צייטלין,צייטלין,צייטלין
צלילי חנינא,צלילי חנינא,צלילי חנינא
צמח דוד,צמח דוד,צמח דוד
צמחי היהודים,צמחי היהודים,צמחי היהודים
צפת,צפת,צפת
צקלג,צקלג,צקלג
צריפין,צריפין,צריפין
צרעה,צורעה,צרעה
"ק""ם","ק""ם","ק""ם"
קארו יוסף,קארו יוסף,קארו יוסף
קבוץ גלויות,קבוץ גלויות,קבוץ גלויות
קדושי השואה,קדושי השואה,קדושי השואה
קדם,קדם,קדם
קדמוני אסא,אסא קדמוני,קדמוני אסא
קדמיאל,קדמיאל,קדמיאל
קדרון,קדרון,קדרון
קדש ברנע,קדש ברנע,קדש ברנע
קהילת אודסה,קהילת אודסה,קהילת אודסה
קהילת בודפסט,קהילת בודפסט,קהילת בודפסט
קהילת ביאליסטוק,קהילת ביאלסטוק,קהילת ביאליסטוק
קהילת ונציה,קהילת ונציה,קהילת ונציה
קהילת ורשה,קהילת ורשה,קהילת ורשה
קהילת ז'יטומיר,קהילת ז'יטומיר,קהילת ז'יטומיר
קהילת זגלביה,קהילות זגלמביה,קהילת זגלביה
קהילת יאסי,קהילת יאסי,קהילת יאסי
קהילת לבוב,קהילת לבוב,קהילת לבוב
קהילת לודג',קהילת לודג',קהילת לודג'
קהילת מכסיקו,קהילת מקסיקו,קהילת מכסיקו
קהילת ניו יורק,קהילת ניו יורק,קהילת ניו יורק
קהילת סאלוניקי,קהילת סלוניקי,קהילת סאלוניקי
קהילת סופיה,קהילת סופיה,קהילת סופיה
קהילת עדן,קהילת עדן,קהילת עדן
קהילת פאדובה,קהילת פאדובה,קהילת פאדובה
קהילת פוזנא,קהילת פוזנא,קהילת פוזנא
קהילת קיוב,קהילת קייב,קהילת קיוב
קהילת קליבלנד,קהילת קליבלנד,קהילת קליבלנד
קהילת קנדה,קהילת קנדה,קהילת קנדה
קהילת ריגא,קהילת ריגה,קהילת ריגא
קובנר אבא,קובנר אבא,קובנר אבא
קויפמן יחזקאל,קויפמן יחזקאל,קויפמן יחזקאל
קול משה,קול משה,קול משה
קוממיות,קוממיות,קוממיות
קומפרט,קומפרט,קומפרט
קוסובסקי,קוסובסקי,קוסובסקי
קוץ' אדוארד,אד קוץ',קוץ' אדוארד
קורדובה,קורדובה,קורדובה
קורדובירו,קורדובירו,קורדובירו
קורולנקו,קורולנקו,קורולנקו
קורט טוכולסקי,טוכולסקי קורט,קורט טוכולסקי
קורצ'אק יאנוש,קורצ'אק יאנוש,קורצ'אק יאנוש
קורקידי,קורקידי,קורקידי
קיוסו אלברט,קיוסו אלברט,קיוסו אלברט
קיציס יוסף,קיציס יוסף,קיציס יוסף
קיש,קישון אפרים,קיש
קלוזנר,קלוזנר,קלוזנר
קלונימוס,קלונימוס,קלונימוס
קליי,קליי,קליי
קלישר,קלישר,קלישר
קלמן,קלמן,קלמן
קלצ'קין,קלצ'קין,קלצ'קין
קמואל,קמואל,קמואל
קפאח יחיה,קאפח יחיה,קפאח יחיה
קפלן,קפלן אליעזר,קפלן
קפלנסקי,קפלנסקי,קפלנסקי
קפריסין,קפריסין,קפריסין
קרוא ברוך,קרוא ברוך,קרוא ברוך
קרייתי,קרייתי,קרייתי
קרית ספר,קרית ספר,קרית ספר
קרית עתידים,"ק""ם",קרית עתידים
קרית שאול,קרית שאול,קרית שאול
קרליבך,קרליבך,קרליבך
קרמניצקי,קרמניצקי,קרמניצקי
קרן היסוד,קרן היסוד,קרן היסוד
קרן קיימת לישראל,קרן קיימת לישראל,קרן קיימת לישראל
קרני יהודה,קרני יהודה,קרני יהודה
קשאני אליעזר,קשאני אליעזר,קשאני אליעזר
"ראב""ד","ראב""ד","ראב""ד"
ראם,ראם,ראם
ראסין ז'אן,ראסין ז'אן,ראסין ז'אן
ראש פינה,ראש פינה,ראש פינה
ראשון לציון,ראשון לציון,ראשון לציון
ראשית חכמה,ראשית חכמה,ראשית חכמה
רב אלוף דוד אלעזר,אלוף,רב אלוף דוד אלעזר
רב אלוף יעקב דורי,דורי יעקב (רב אלוף),רב אלוף יעקב דורי
רב אשי,רב אשי,רב אשי
